model,dataset,execution,elapsed_time_ms,input_data_amount,average_time_per_input
M1,minsensors_12,55,0.048723459243774414,42,0.00116008236294701
M1,minsensors_12,56,0.04530453681945801,42,0.0010786794480823335
M1,minsensors_12,57,0.047454118728637695,42,0.001129859969729469
M1,minsensors_12,58,0.05028414726257324,42,0.0011972416014898392
M1,minsensors_12,59,0.04658150672912598,42,0.0011090834935506184
M1,minsensors_12,60,0.04902076721191406,42,0.001167161124093192
M1,minsensors_12,61,0.04835820198059082,42,0.0011513857614426385
M1,minsensors_12,62,0.04892468452453613,42,0.001164873441060384
M1,minsensors_12,63,0.05336403846740723,42,0.001270572344462077
M1,minsensors_12,64,0.04975771903991699,42,0.0011847075961884997
M1,minsensors_12,65,0.04644274711608887,42,0.0011057796932402112
M1,minsensors_12,66,0.0513911247253418,42,0.0012235982077462332
M1,minsensors_12,67,0.05064272880554199,42,0.0012057792572748092
M1,minsensors_12,68,0.04680991172790527,42,0.0011145217078072684
M1,minsensors_12,69,0.048752784729003906,42,0.0011607805887858074
M1,minsensors_12,70,0.046816110610961914,42,0.001114669300260998
M1,minsensors_12,71,0.04648852348327637,42,0.0011068696067446755
M1,minsensors_12,72,0.045914411544799805,42,0.0010932002748761857
M1,minsensors_12,73,0.049775123596191406,42,0.0011851219903855096
M1,minsensors_12,74,0.05031323432922363,42,0.0011979341506958008
M1,minsensors_12,75,0.05027270317077637,42,0.001196969123113723
M1,minsensors_12,76,0.05097508430480957,42,0.001213692483447847
M1,minsensors_12,77,0.04992556571960449,42,0.001188703945704869
M1,minsensors_12,78,0.04616522789001465,42,0.0010991720926193964
M1,minsensors_12,79,0.049829721450805664,42,0.0011864219393048967
M1,minsensors_12,80,0.04628753662109375,42,0.001102084205264137
M1,minsensors_12,81,0.04570770263671875,42,0.0010882786342075893
M1,minsensors_12,82,0.04890847206115723,42,0.001164487430027553
M1,minsensors_12,83,0.04731464385986328,42,0.0011265391395205544
M1,minsensors_12,84,0.048506975173950195,42,0.0011549279803321475
M1,minsensors_12,85,0.0518183708190918,42,0.0012337707337879
M1,minsensors_12,86,0.054485321044921875,42,0.001297269548688616
M1,minsensors_12,87,0.05231118202209473,42,0.0012455043338593982
M1,minsensors_12,88,0.053086280822753906,42,0.0012639590672084264
M1,minsensors_12,89,0.053511857986450195,42,0.0012740918568202428
M1,minsensors_12,90,0.05675029754638672,42,0.0013511975606282551
M1,minsensors_12,91,0.05408978462219238,42,0.0012878520148141043
M1,minsensors_12,92,0.04989194869995117,42,0.001187903540475028
M1,minsensors_12,93,0.04761838912963867,42,0.0011337711697533017
M1,minsensors_12,94,0.04808187484741211,42,0.0011448065439860027
M1,minsensors_12,95,0.05409431457519531,42,0.0012879598708379837
M1,minsensors_12,96,0.05463910102844238,42,0.0013009309768676758
M1,minsensors_12,97,0.0526425838470459,42,0.0012533948535010928
M1,minsensors_12,98,0.051809072494506836,42,0.0012335493451073056
M1,minsensors_12,99,0.04823493957519531,42,0.001148450942266555
M1,minsensors_12,100,0.04640460014343262,42,0.001104871431986491
M2,minsensors_10,1,0.0728764533996582,57,0.0012785342701694422
M2,minsensors_10,2,0.048697471618652344,57,0.000854341607344778
M2,minsensors_10,3,0.05093264579772949,57,0.0008935551894338507
M2,minsensors_10,4,0.05306649208068848,57,0.0009309910891348856
M2,minsensors_10,5,0.049248695373535156,57,0.0008640121995357045
M2,minsensors_10,6,0.04967665672302246,57,0.0008715202933863589
M2,minsensors_10,7,0.05187654495239258,57,0.0009101148237261856
M2,minsensors_10,8,0.04957699775695801,57,0.0008697718904729475
M2,minsensors_10,9,0.04912829399108887,57,0.0008618998945805064
M2,minsensors_10,10,0.04877734184265137,57,0.0008557428393447608
M2,minsensors_10,11,0.05153012275695801,57,0.0009040372413501405
M2,minsensors_10,12,0.048505544662475586,57,0.0008509744677627296
M2,minsensors_10,13,0.04899954795837402,57,0.0008596411922521758
M2,minsensors_10,14,0.04841876029968262,57,0.0008494519350821512
M2,minsensors_10,15,0.04861021041870117,57,0.0008528107091000205
M2,minsensors_10,16,0.04869675636291504,57,0.0008543290589985094
M2,minsensors_10,17,0.04996228218078613,57,0.0008765312663295813
M2,minsensors_10,18,0.048630475997924805,57,0.0008531662455776281
M2,minsensors_10,19,0.05457329750061035,57,0.0009574262719405325
M2,minsensors_10,20,0.05148792266845703,57,0.0009032968889202987
M2,minsensors_10,21,0.04911375045776367,57,0.0008616447448730469
M2,minsensors_10,22,0.05034065246582031,57,0.0008831693415056195
M2,minsensors_10,23,0.048410892486572266,57,0.0008493139032731976
M2,minsensors_10,24,0.05092954635620117,57,0.0008935008132666873
M2,minsensors_10,25,0.04911518096923828,57,0.0008616698415655838
M2,minsensors_10,26,0.04933333396911621,57,0.0008654970871774774
M2,minsensors_10,27,0.052716732025146484,57,0.0009248549478095875
M2,minsensors_10,28,0.04967451095581055,57,0.0008714826483475534
M2,minsensors_10,29,0.048648834228515625,57,0.0008534883197985197
M2,minsensors_10,30,0.04850649833679199,57,0.0008509911988910876
M2,minsensors_10,31,0.05028486251831055,57,0.0008821905704966763
M2,minsensors_10,32,0.0525357723236084,57,0.0009216802162036561
M2,minsensors_10,33,0.04851269721984863,57,0.0008510999512254146
M2,minsensors_10,34,0.04882097244262695,57,0.0008565082884671396
M2,minsensors_10,35,0.05215263366699219,57,0.0009149584853858279
M2,minsensors_10,36,0.049497127532958984,57,0.0008683706584729647
M2,minsensors_10,37,0.049576520919799805,57,0.0008697635249087685
M2,minsensors_10,38,0.04908108711242676,57,0.0008610717037267852
M2,minsensors_10,39,0.05393695831298828,57,0.000946262426543654
M2,minsensors_10,40,0.05242776870727539,57,0.0009197854159171122
M2,minsensors_10,41,0.049224138259887695,57,0.0008635813729804859
M2,minsensors_10,42,0.04977917671203613,57,0.0008733188896848444
M2,minsensors_10,43,0.055347442626953125,57,0.0009710077653851425
M2,minsensors_10,44,0.05119204521179199,57,0.000898106056347228
M2,minsensors_10,45,0.050928592681884766,57,0.0008934840821383292
M2,minsensors_10,46,0.04856705665588379,57,0.0008520536255418209
M2,minsensors_10,47,0.04819488525390625,57,0.0008455243027001096
M2,minsensors_10,48,0.049252986907958984,57,0.0008640874896133155
M2,minsensors_10,49,0.04841113090515137,57,0.0008493180860552872
M2,minsensors_10,50,0.048621177673339844,57,0.0008530031170761376
M2,minsensors_10,51,0.05228686332702637,57,0.000917313391702217
M2,minsensors_10,52,0.050066471099853516,57,0.0008783591421026932
M2,minsensors_10,53,0.049190521240234375,57,0.0008629916007058663
M2,minsensors_10,54,0.04842400550842285,57,0.0008495439562881202
M2,minsensors_10,55,0.05176520347595215,57,0.0009081614644903885
M2,minsensors_10,56,0.04995274543762207,57,0.0008763639550460013
M2,minsensors_10,57,0.05166363716125488,57,0.0009063795993202611
M2,minsensors_10,58,0.051938772201538086,57,0.0009112065298515454
M2,minsensors_10,59,0.055212974548339844,57,0.0009686486762866639
M2,minsensors_10,60,0.05056118965148926,57,0.000887038414938408
M2,minsensors_10,61,0.051921844482421875,57,0.0009109095523231908
M2,minsensors_10,62,0.05014348030090332,57,0.0008797101807176021
M2,minsensors_10,63,0.0509185791015625,57,0.0008933084052905702
M2,minsensors_10,64,0.05275893211364746,57,0.0009255953002394291
M2,minsensors_10,65,0.049800872802734375,57,0.000873699522854989
M2,minsensors_10,66,0.048500776290893555,57,0.0008508908121209396
M2,minsensors_10,67,0.05610227584838867,57,0.000984250453480503
M2,minsensors_10,68,0.04918169975280762,57,0.0008628368377685547
M2,minsensors_10,69,0.04986977577209473,57,0.0008749083468788548
M2,minsensors_10,70,0.04879927635192871,57,0.000856127655296995
M2,minsensors_10,71,0.05106782913208008,57,0.0008959268268785978
M2,minsensors_10,72,0.0502316951751709,57,0.0008812578100907175
M2,minsensors_10,73,0.05029654502868652,57,0.0008823955268190618
M2,minsensors_10,74,0.05004286766052246,57,0.0008779450466758327
M2,minsensors_10,75,0.05691671371459961,57,0.0009985388370982388
M2,minsensors_10,76,0.05055356025695801,57,0.000886904565911544
M2,minsensors_10,77,0.04830789566040039,57,0.0008475069414105331
M2,minsensors_10,78,0.05233502388000488,57,0.0009181583136842962
M2,minsensors_10,79,0.055884599685668945,57,0.0009804315734327886
M2,minsensors_10,80,0.054956912994384766,57,0.0009641563683225398
M2,minsensors_10,81,0.05684542655944824,57,0.000997288185253478
M2,minsensors_10,82,0.054414987564086914,57,0.0009546489046331038
M2,minsensors_10,83,0.06161212921142578,57,0.0010809145475688734
M2,minsensors_10,84,0.05621790885925293,57,0.000986279102793911
M2,minsensors_10,85,0.05516457557678223,57,0.0009677995715224952
M2,minsensors_10,86,0.05093216896057129,57,0.0008935468238696718
M2,minsensors_10,87,0.05717921257019043,57,0.0010031440801787795
M2,minsensors_10,88,0.0649104118347168,57,0.0011387791549950315
M2,minsensors_10,89,0.05736255645751953,57,0.0010063606396056059
M2,minsensors_10,90,0.051889896392822266,57,0.0009103490595231976
M2,minsensors_10,91,0.05523180961608887,57,0.0009689791160717345
M2,minsensors_10,92,0.05189180374145508,57,0.0009103825217799136
M2,minsensors_10,93,0.05057668685913086,57,0.0008873102957742256
M2,minsensors_10,94,0.04909157752990723,57,0.0008612557461387233
M2,minsensors_10,95,0.048307180404663086,57,0.0008474943930642647
M2,minsensors_10,96,0.049530982971191406,57,0.0008689646135296737
M2,minsensors_10,97,0.04977583885192871,57,0.0008732603307355914
M2,minsensors_10,98,0.05238151550292969,57,0.000918973956191749
M2,minsensors_10,99,0.0552978515625,57,0.0009701377467105264
M2,minsensors_10,100,0.05274605751037598,57,0.0009253694300065961
M2,minsensors_12,1,0.07162117958068848,42,0.0017052661804925827
M2,minsensors_12,2,0.049353599548339844,42,0.0011750857035319011
M2,minsensors_12,3,0.04970097541809082,42,0.001183356557573591
M2,minsensors_12,4,0.04772448539733887,42,0.0011362972713652112
M2,minsensors_12,5,0.04784870147705078,42,0.0011392547970726376
M2,minsensors_12,6,0.04941749572753906,42,0.0011766070411318825
M2,minsensors_12,7,0.047420501708984375,42,0.001129059564499628
M2,minsensors_12,8,0.05147242546081543,42,0.0012255339395432245
M2,minsensors_12,9,0.04926443099975586,42,0.00117296264285133
M2,minsensors_12,10,0.050577640533447266,42,0.001204229536510649
M2,minsensors_12,11,0.04964876174926758,42,0.0011821133749825613
M2,minsensors_12,12,0.04827594757080078,42,0.0011494273231143044
M2,minsensors_12,13,0.04814791679382324,42,0.0011463789712815057
M2,minsensors_12,14,0.05597043037414551,42,0.001332629294622512
