timestamp,pos_x,pos_y,pos_z,b827eb4521b4,b827ebfd7811,000000000202,000000000101,000000000402,000000000301,000000000201,000000000302,000000000401,b827ebf7d096,000000000102,b827eb917e19
1581249638.272027,8.309905581727273,8.520623033,1.840130901272727,-67,-72,-66,-71,-200,-68,-72,-66,-68,-86,-74,-77
1581249638.7327545,8.143813476999998,8.522049693636363,1.8377018378181817,-65,-74,-200,-64,-72,-74,-72,-71,-62,-87,-77,-70
1581249639.1872065,7.972311340363635,8.522522483000001,1.8279134898181817,-66,-75,-73,-66,-77,-72,-200,-69,-64,-92,-74,-61
1581249639.6463172,7.790570510545454,8.52485708890909,1.836761940818182,-60,-79,-73,-72,-76,-200,-73,-68,-78,-74,-69,-66
1581249640.1026056,7.606987227090909,8.527507988909091,1.8379105433636362,-64,-79,-71,-70,-200,-68,-83,-71,-67,-86,-75,-65
1581249640.5570424,7.437899482749999,8.519356368583333,1.8406750429166667,-64,-200,-78,-70,-69,-72,-70,-69,-75,-96,-73,-65
1581249641.0135791,7.28189800125,8.539613130333334,1.8330656518333335,-79,-72,-85,-72,-75,-71,-76,-80,-66,-75,-84,-67
1581249641.4645052,7.113441898461539,8.534000000000002,1.8349054914615386,-71,-86,-75,-76,-80,-72,-74,-74,-66,-79,-71,-74
1581249641.9160683,6.942887847727272,8.519664505363636,1.8232696926363636,-62,-79,-77,-70,-78,-66,-200,-70,-67,-78,-73,-68
1581249642.36702,6.780020570636364,8.545178500363637,1.8183112142727273,-61,-78,-74,-75,-83,-75,-200,-77,-69,-78,-69,-70
1581249642.8217168,6.632805910499999,8.532373142099999,1.7941194263000004,-67,-83,-75,-75,-84,-73,-81,-200,-70,-74,-69,-200
1581249643.272717,6.550161650777778,8.583572370333334,1.8223063916666666,-200,-91,-68,-69,-76,-77,-76,-200,-69,-90,-66,-200
1581249643.7301729,6.445465476777778,8.627810906222221,1.8538109062222223,-63,-78,-71,-72,-74,-77,-75,-71,-200,-200,-200,-68
1581249644.1902015,6.276645713272728,8.682999999999998,1.864673834909091,-69,-83,-200,-72,-78,-71,-70,-68,-200,-79,-79,-63
1581249644.6511514,6.1651972667,8.6334946,1.8850585555000001,-60,-80,-70,-200,-74,-77,-80,-200,-66,-80,-66,-68
1581249645.1063414,5.971475922363637,8.649931781636363,1.8790000000000004,-67,-78,-72,-77,-70,-200,-70,-75,-78,-81,-65,-60
1581249645.5594935,5.8049018129,8.656390686200002,1.8676953431,-65,-77,-72,-72,-72,-68,-68,-73,-200,-200,-200,-67
1581249646.0127566,5.619669591090909,8.677472100545454,1.886,-67,-81,-63,-71,-200,-76,-67,-84,-71,-81,-76,-73
1581249646.4676623,5.4661050394,8.6681801879,1.8782732705,-76,-200,-200,-75,-75,-74,-68,-80,-72,-78,-72,-76
1581249646.919961,5.267816559333334,8.691401449666667,1.8704859213333334,-62,-76,-200,-65,-80,-73,-65,-79,-76,-76,-73,-71
1581249647.3735492,5.086780959333334,8.717484354333331,1.8583867342499998,-69,-81,-69,-62,-76,-75,-68,-80,-75,-87,-68,-65
1581249647.832276,4.897644595125,8.732817164500002,1.859,-200,-81,-73,-68,-200,-82,-67,-200,-68,-78,-63,-200
1581249648.2883315,4.6946658782999995,8.636436018800001,1.8618590047,-66,-82,-78,-67,-85,-71,-76,-200,-200,-87,-66,-72
1581249648.7421014,4.5130793339,8.6223804647,1.8682919595999998,-68,-89,-81,-65,-200,-71,-75,-77,-65,-200,-71,-73
1581249649.1970491,4.381171221181818,8.571279903181818,1.862917122090909,-66,-200,-70,-66,-76,-82,-68,-74,-72,-81,-72,-65
1581249649.6517322,4.2293692735,8.592839807083335,1.8529628985833335,-65,-79,-78,-66,-81,-73,-74,-76,-69,-82,-68,-62
1581249650.112751,4.02938680325,8.619091691125,1.846908308875,-200,-84,-73,-69,-79,-80,-200,-200,-71,-79,-64,-200
1581249650.5659552,3.8147581482727273,8.641340297454544,1.850277619909091,-75,-85,-89,-68,-74,-200,-72,-83,-69,-85,-61,-72
1581249651.0164752,3.6026315972,8.6162789515,1.8179894722,-76,-84,-75,-65,-74,-200,-67,-200,-70,-92,-60,-71
1581249651.4744005,3.421670313,8.5898578127,1.8335234374000002,-65,-81,-70,-66,-200,-77,-81,-200,-68,-79,-62,-70
1581249651.9273057,3.2418791220000003,8.575999999999999,1.8396272525999997,-77,-200,-200,-67,-81,-72,-75,-80,-77,-97,-65,-65
1581249652.3872337,3.0575254074545457,8.562531649272726,1.8375316492727274,-80,-82,-76,-64,-75,-78,-200,-80,-68,-92,-65,-66
1581249652.8435812,2.8757243019999996,8.5584495863,1.8359999999999999,-200,-79,-75,-75,-79,-88,-68,-81,-74,-83,-62,-200
1581249653.2963436,2.703827641166667,8.566,1.8356485728333336,-72,-200,-78,-70,-200,-200,-70,-200,-200,-200,-200,-67
1581249653.7479172,2.531469088909091,8.559910596,1.8260218791818184,-84,-81,-64,-68,-72,-74,-80,-78,-200,-84,-75,-67
1581249654.2029297,2.3530381271818186,8.544626588636365,1.828,-86,-83,-74,-65,-200,-74,-74,-77,-69,-84,-63,-79
1581249654.656877,2.1745432265454547,8.537642244,1.8339999999999999,-72,-200,-71,-81,-78,-75,-66,-75,-62,-99,-61,-71
1581249655.114483,1.9995824914999998,8.541219773666667,1.8419450565833335,-70,-92,-66,-65,-74,-78,-66,-70,-66,-82,-64,-80
