timestamp,pos_x,pos_y,pos_z,b827eb4521b4,000000000102,b827eb917e19,b827ebf7d096,b827ebfd7811,000000000101,000000000302,000000000301,000000000402,000000000201,000000000202,000000000401
1581252438.097991,5.583706400909091,5.586555768727273,1.763269835181818,-61,-72,-200,-86,-73,-63,-75,-80,-80,-82,-74,-75
1581252438.5561528,5.5696713993,5.8059529422,1.7752206894,-61,-72,-77,-86,-200,-64,-83,-70,-200,-80,-71,-74
1581252439.0082037,5.5674157297999995,6.0316606794,1.7808831459,-65,-65,-76,-85,-83,-63,-75,-74,-83,-200,-200,-75
1581252439.4599662,5.5536846605,6.240734977875,1.74989447975,-67,-70,-200,-87,-82,-66,-68,-200,-200,-81,-200,-67
1581252439.9146929,5.608439760222222,6.449370485888889,1.76771988,-200,-68,-69,-200,-80,-200,-78,-83,-77,-81,-84,-70
1581252440.3675954,5.6632074614545465,6.660601343727271,1.783053394181818,-65,-70,-72,-84,-73,-68,-74,-71,-77,-200,-75,-70
1581252440.8199725,5.6815263896923085,6.88568542853846,1.801736805230769,-58,-62,-67,-83,-97,-71,-75,-74,-77,-76,-76,-68
1581252441.2749054,5.695512079333334,7.119874455833333,1.810768118833333,-58,-66,-72,-84,-77,-66,-74,-74,-70,-73,-84,-66
1581252441.7262156,5.700861805333333,7.345431923916666,1.8167236104999998,-58,-65,-71,-89,-78,-68,-77,-84,-73,-86,-80,-64
1581252442.1864517,5.706111852727272,7.570467429454546,1.8195559261818184,-58,-62,-70,-84,-75,-63,-200,-74,-67,-80,-84,-68
1581252442.637275,5.712177645900001,7.788014045300001,1.8219999999999998,-58,-67,-68,-83,-78,-76,-74,-69,-71,-200,-200,-63
1581252443.093696,5.716,8.005826446299999,1.823,-59,-63,-65,-79,-200,-200,-74,-80,-83,-80,-72,-74
1581252443.5480707,5.718797993076923,8.222934775,1.8226010034615387,-60,-64,-66,-88,-82,-75,-78,-80,-75,-72,-71,-72
1581252444.0022385,5.722992752181818,8.455126729545453,1.820952505818182,-68,-200,-70,-81,-97,-68,-82,-75,-67,-83,-74,-71
1581252444.4611268,5.727000000000001,8.689085769400002,1.8121548110999999,-64,-63,-70,-82,-77,-70,-74,-73,-80,-200,-73,-200
1581252444.9213905,5.7227740871111115,8.898475067888889,1.8262259128888887,-64,-68,-200,-83,-200,-72,-72,-76,-200,-82,-69,-63
1581252445.3808634,5.712761683666667,9.103911170333335,1.8342383163333336,-64,-77,-63,-79,-74,-69,-86,-81,-68,-78,-76,-72
1581252445.8372595,5.705489481083333,9.317560309583333,1.8380000000000003,-65,-65,-60,-81,-75,-70,-81,-75,-69,-72,-69,-68
1581252446.2910247,5.6973859405,9.532035846399998,1.8396929701999998,-68,-75,-61,-81,-88,-74,-85,-84,-70,-200,-66,-200
1581252446.7417314,5.6910957689,9.750062334099999,1.8400000000000003,-67,-67,-63,-92,-79,-72,-76,-87,-76,-200,-69,-200
1581252447.2017245,5.698631607,9.992789285799999,1.8304035119000002,-65,-64,-200,-90,-200,-69,-72,-79,-200,-75,-74,-77
1581252447.654266,5.678,10.221885473555556,1.8199999999999998,-200,-67,-64,-200,-74,-200,-72,-77,-72,-75,-70,-80
1581252448.107609,5.684723800909091,10.445575925818181,1.817,-67,-66,-64,-90,-75,-80,-200,-74,-77,-77,-64,-86
1581252448.5620909,5.639278718727272,10.641298025181818,1.7048413341818183,-72,-200,-71,-78,-78,-83,-83,-74,-71,-68,-75,-68
1581252449.0160675,5.53,10.866032815666669,1.4882876985,-69,-68,-65,-89,-79,-81,-83,-71,-71,-68,-69,-66
1581252449.4734843,5.580123880090909,11.135596137909092,1.8782645109090907,-67,-65,-74,-81,-93,-75,-84,-77,-71,-200,-63,-74
