timestamp,pos_x,pos_y,pos_z,b827ebf7d096,b827eb917e19,b827ebfd7811,b827eb4521b4,000000000302,000000000401,000000000402,000000000202,000000000301,000000000201,000000000101,000000000102
1569329895.42838,2.59,0.17,1.85,100,100,100,100,100,100,100,-76,-80,100,-67,100
1569329907.271314,2.59,0.17,1.85,100,100,100,100,100,100,100,100,-77,100,-66,-77
1569330000.558004,2.59,0.17,1.85,100,100,100,100,100,100,100,-76,100,100,-67,-76
1569330005.106965,2.59,0.17,1.85,100,100,100,100,-78,100,-79,100,100,100,-66,100
1569330028.307049,2.59,0.17,1.85,100,100,100,100,100,-76,100,-73,100,-76,100,100
1569330133.423285,2.59,0.17,1.85,100,100,100,100,100,-73,100,-72,-83,100,100,100
1569330159.344452,2.59,0.17,1.85,100,100,100,100,100,100,-79,-75,100,100,-66,100
1569330323.984594,2.59,0.17,1.85,100,100,100,100,100,-69,100,-75,100,-78,100,100
1569330496.0013387,2.59,0.17,1.85,100,100,100,100,100,100,-78,-75,100,-78,100,100
1569330498.7292,2.59,0.17,1.85,100,100,100,100,100,100,-78,100,-80,-78,100,100
1569330807.193577,2.59,0.17,1.85,100,100,100,100,100,-77,100,-72,100,100,-66,100
1569330811.755068,2.59,0.17,1.85,100,100,100,100,100,100,-78,100,-80,100,-67,100
1569330844.509351,2.59,0.17,1.85,100,100,100,100,-78,-69,100,100,-80,100,100,100
1569330903.629116,2.59,0.17,1.85,100,100,100,100,100,-77,100,-72,-82,100,100,100
1569330991.4227667,2.59,0.17,1.85,100,100,100,100,100,-76,-78,100,-80,100,100,100
1569331040.109318,2.59,0.17,1.85,100,100,100,100,100,100,100,-77,-75,100,100,-74
1569331056.4911788,2.59,0.17,1.85,100,100,100,100,100,-77,100,100,-82,100,-66,100
1569331205.199492,2.59,0.17,1.85,100,100,100,100,100,-77,100,100,-78,-77,100,100
1569331284.757372,2.59,0.17,1.85,100,100,100,100,100,100,100,-71,100,-78,-66,100
1569331601.245409,2.59,0.17,1.85,100,100,100,100,100,-73,100,100,-78,100,100,-74
1568122444.301831,10.36,0.28,1.85,100,100,100,100,100,100,-67,100,-85,100,100,-76
1568122472.0647647,10.36,0.28,1.85,100,100,100,100,-76,-60,100,100,-80,100,100,100
1568122531.656111,10.36,0.28,1.85,100,100,100,100,100,100,-66,-75,-80,100,100,100
1568122678.188536,10.36,0.28,1.85,100,100,100,100,100,-63,100,-75,-79,100,100,100
1568123012.664335,10.36,0.28,1.85,100,100,100,100,-78,-63,100,100,-80,100,100,100
1568123122.270431,10.36,0.28,1.85,100,100,100,100,100,100,-67,-77,-83,100,100,100
1568123133.186098,10.36,0.28,1.85,100,100,100,100,100,100,-68,100,100,-87,100,-76
1568123149.565712,10.36,0.28,1.85,100,100,100,100,100,100,-67,100,-80,100,-67,100
1568123192.2893307,10.36,0.28,1.85,100,100,100,100,100,100,-67,-81,-82,100,100,100
1568123335.510133,10.36,0.28,1.85,100,100,100,100,100,100,-67,-79,-82,100,100,100
1568123450.926168,10.36,0.28,1.85,100,100,100,100,100,100,-68,100,-78,100,100,-77
1568123663.443567,10.36,0.28,1.85,100,100,100,100,100,100,100,100,-82,100,-67,-75
1568123788.0935807,10.36,0.28,1.85,100,100,100,100,100,-68,100,100,100,-86,100,-78
1568123824.440576,10.36,0.28,1.85,100,100,100,100,100,100,-67,100,-80,-87,100,100
1568123838.103508,10.36,0.28,1.85,100,100,100,100,100,-65,100,-82,-84,100,100,100
