timestamp,pos_x,pos_y,pos_z,b827ebfd7811,000000000402,b827ebf7d096,000000000202,000000000201,000000000301,000000000401,b827eb4521b4,000000000101,000000000102,000000000302,b827eb917e19
1568743446.827139,18.13,0.45,1.85,-73,-73,-76,-72,-81,-77,-74,-79,-86,-81,-76,-81
1568743450.458511,18.13,0.45,1.85,-73,-73,-78,-72,-81,-77,-75,-79,-79,-76,-76,-81
1568743452.270494,18.13,0.45,1.85,-78,-75,-76,-72,-70,-77,-71,-80,-87,-81,-84,-81
1568743459.546498,18.13,0.45,1.85,-72,-70,-78,-72,-81,-77,-75,-79,-83,-82,-76,-81
1568743463.63798,18.13,0.45,1.85,-75,-72,-80,-74,-76,-77,-71,-79,-83,-76,-83,-81
1568743465.911942,18.13,0.45,1.85,-72,-73,-78,-73,-78,-77,-73,-79,-79,-81,-84,-81
1568743468.197921,18.13,0.45,1.85,-87,-74,-81,-76,-75,-77,-71,-79,-87,-76,-84,-97
1568743470.021906,18.13,0.45,1.85,-72,-73,-76,-73,-78,-77,-71,-79,-86,-82,-84,-81
1568743472.305908,18.13,0.45,1.85,-78,-72,-75,-73,-73,-77,-71,-79,-87,-81,-84,-81
1568743475.504465,18.13,0.45,1.85,-73,-74,-80,-73,-78,-77,-73,-79,-87,-82,-76,-81
1568743479.149832,18.13,0.45,1.85,-78,-75,-78,-74,-75,-77,-73,-79,-86,-76,-76,-81
1568743484.150772,18.13,0.45,1.85,-72,-75,-76,-72,-78,-77,-71,-79,-86,-81,-84,-81
1568743486.429367,18.13,0.45,1.85,-75,-75,-80,-73,-78,-77,-73,-79,-87,-79,-77,-81
1568743491.4363627,18.13,0.45,1.85,-76,-70,-79,-74,-78,-77,-73,-80,-79,-76,-76,-81
1568743493.251315,18.13,0.45,1.85,-78,-75,-76,-73,-70,-77,-71,-79,-87,-82,-84,-81
1568743496.437316,18.13,0.45,1.85,-78,-75,-80,-73,-70,-77,-71,-80,-86,-74,-84,-80
1568743505.091316,18.13,0.45,1.85,-75,-75,-77,-75,-78,-77,-73,-79,-87,-82,-76,-81
1568743513.277564,18.13,0.45,1.85,-72,-75,-76,-71,-81,-77,-75,-79,-86,-82,-76,-81
1568743518.739531,18.13,0.45,1.85,-73,-70,-78,-75,-75,-77,-73,-79,-79,-76,-76,-80
1568743523.7184927,18.13,0.45,1.85,-83,-70,-78,-74,-80,-77,-74,-79,-79,-76,-76,-81
1568743528.260422,18.13,0.45,1.85,-75,-74,-81,-72,-78,-77,-71,-79,-87,-82,-75,-81
1568743530.535406,18.13,0.45,1.85,-75,-72,-80,-73,-78,-77,-75,-80,-79,-80,-76,-81
1568743535.985874,18.13,0.45,1.85,-84,-70,-78,-74,-78,-77,-75,-79,-79,-76,-76,-81
1568743539.625318,18.13,0.45,1.85,-78,-75,-76,-74,-73,-77,-72,-79,-86,-82,-83,-89
1568743547.361134,18.13,0.45,1.85,-75,-75,-80,-76,-75,-77,-71,-79,-86,-76,-76,-81
1568743552.3712068,18.13,0.45,1.85,-75,-73,-78,-75,-78,-77,-75,-79,-79,-76,-76,-81
1568743554.64615,18.13,0.45,1.85,-72,-70,-80,-72,-80,-77,-75,-79,-79,-82,-76,-80
1568743557.380175,18.13,0.45,1.85,-76,-75,-76,-72,-73,-77,-72,-79,-87,-82,-84,-81
1568743567.8221767,18.13,0.45,1.85,-72,-73,-76,-72,-79,-77,-73,-79,-79,-82,-76,-81
